name,score
abkhazia,41.0
afghanistan,26.0
albania,68.0
algeria,35.0
andorra,96.0
angola,26.0
antigua-and-barbuda,83.0
argentina,83.0
armenia,45.0
australia,98.0
austria,94.0
azerbaijan,12.0
bahamas,91.0
bahrain,12.0
bangladesh,45.0
barbados,96.0
belarus,21.0
belgium,95.0
belize,86.0
benin,82.0
bhutan,55.0
bolivia,67.0
bosnia-and-herzegovina,55.0
botswana,72.0
brazil,78.0
brunei,28.0
bulgaria,80.0
burkina-faso,60.0
burundi,18.0
cambodia,30.0
cameroon,22.0
canada,99.0
cape-verde,90.0
central-african-republic,9.0
chad,18.0
chile,94.0
china,14.0
colombia,65.0
comoros,55.0
congo-republic-brazzaville,21.0
congo-democratic-republic-kinshasa,17.0
costa-rica,91.0
c-te-divoire,51.0
crimea,9.0
crimea-translation,
croatia,86.0
cuba,14.0
cyprus,94.0
czech-republic,93.0
denmark,97.0
djibouti,26.0
dominica,93.0
dominican-republic,67.0
ecuador,60.0
egypt,26.0
el-salvador,70.0
equatorial-guinea,7.0
eritrea,3.0
estonia,94.0
ethiopia,12.0
fiji,59.0
finland,100.0
france,90.0
gabon,23.0
gambia,41.0
gaza-strip,12.0
georgia,64.0
germany,94.0
ghana,83.0
greece,85.0
grenada,88.0
guatemala,56.0
guinea,41.0
guinea-bissau,41.0
guyana,74.0
haiti,41.0
honduras,46.0
hong-kong,59.0
hungary,72.0
iceland,95.0
india,77.0
indian-kashmir,49.0
indonesia,64.0
iran,18.0
iraq,31.0
ireland,96.0
israel,79.0
italy,89.0
jamaica,77.0
japan,96.0
jordan,37.0
kazakhstan,22.0
kenya,48.0
kiribati,93.0
kosovo,52.0
kuwait,36.0
kyrgyzstan,37.0
laos,12.0
latvia,87.0
lebanon,43.0
lesotho,64.0
liberia,62.0
libya,9.0
liechtenstein,90.0
lithuania,91.0
luxembourg,98.0
macedonia,58.0
madagascar,56.0
malawi,63.0
malaysia,45.0
maldives,35.0
mali,44.0
malta,92.0
marshall-islands,92.0
mauritania,30.0
mauritius,89.0
mexico,62.0
micronesia,93.0
moldova,61.0
monaco,82.0
mongolia,85.0
montenegro,67.0
morocco,39.0
mozambique,52.0
myanmar,31.0
nagorno-karabakh,30.0
namibia,77.0
nauru,81.0
nepal,55.0
netherlands,99.0
new-zealand,98.0
nicaragua,44.0
niger,49.0
nigeria,50.0
north-korea,3.0
northern-cyprus,81.0
norway,100.0
oman,23.0
pakistan,43.0
pakistani-kashmir,28.0
palau,92.0
panama,83.0
papua-new-guinea,63.0
paraguay,64.0
peru,73.0
philippines,62.0
poland,85.0
portugal,97.0
qatar,24.0
romania,84.0
russia,20.0
rwanda,23.0
samoa,80.0
san-marino,97.0
s-o-tom-and-pr-ncipe,82.0
saudi-arabia,7.0
senegal,75.0
serbia,73.0
seychelles,71.0
sierra-leone,66.0
singapore,52.0
slovakia,89.0
slovenia,93.0
solomon-islands,72.0
somalia,7.0
somaliland,44.0
south-africa,78.0
south-korea,84.0
south-ossetia,10.0
south-sudan,2.0
spain,94.0
sri-lanka,55.0
st-kitts-and-nevis,89.0
st-lucia,91.0
st-vincent-and-grenadines,90.0
sudan,8.0
suriname,78.0
swaziland,16.0
sweden,100.0
switzerland,96.0
syria,1.0
taiwan,93.0
tajikistan,11.0
tanzania,52.0
thailand,31.0
tibet,1.0
timor-leste,69.0
togo,47.0
tonga,75.0
transnistria,24.0
trinidad-and-tobago,81.0
tunisia,70.0
turkey,32.0
turkmenistan,4.0
tuvalu,94.0
uganda,37.0
ukraine,62.0
ukraine-translation,62.0
united-arab-emirates,17.0
united-kingdom,94.0
united-states,86.0
uruguay,98.0
uzbekistan,7.0
vanuatu,81.0
venezuela,26.0
vietnam,20.0
west-bank,28.0
western-sahara,4.0
yemen,13.0
zambia,55.0
zimbabwe,30.0
