country,freedomhouse_score,quality_of_life_index,purchasing_power_index,safety_index,health_care_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_time_index,pollution_index,climate_index
Burundi,18.0,,,48.97,,,149.59,,93.10,
Bonaire,,,,42.28,,,6.95,,,
Bolivia,67.0,,44.47,47.99,50.41,33.82,9.21,44.54,78.14,
Botswana,72.0,,61.49,47.36,59.86,38.63,41.73,27.33,46.06,
Bulgaria,80.0,129.24,49.61,60.78,55.27,37.38,9.17,28.74,64.34,81.22
Bosnia And Herzegovina,,123.83,44.26,58.44,52.91,36.67,12.62,27.16,61.83,80.48
Brunei,28.0,,95.97,71.57,76.49,44.21,3.27,28.38,33.16,
Burkina Faso,,,,55.85,60.19,,284.69,50.00,,
British Virgin Islands,,,,67.65,,,,,86.21,
Brazil,78.0,104.43,34.88,31.04,55.69,41.05,16.90,42.01,55.77,95.62
Bhutan,55.0,,31.60,64.98,58.10,37.13,15.56,0.00,55.30,
Bermuda,,,88.04,65.42,70.14,138.88,7.23,40.57,13.54,
Benin,82.0,,,73.68,44.44,,,20.00,97.41,
Belize,86.0,,61.68,46.26,46.85,49.13,10.41,16.00,53.34,
Belgium,95.0,156.34,90.57,56.20,74.16,73.10,6.88,34.93,51.99,85.99
Belarus,21.0,134.75,39.55,75.52,58.81,34.18,15.22,31.03,44.48,64.37
Zambia,55.0,,63.09,59.05,53.98,32.75,293.10,28.40,87.81,
Zimbabwe,30.0,,27.51,43.21,40.24,55.87,21.51,22.88,74.61,
Yemen,13.0,,16.64,26.27,29.37,46.34,23.02,15.00,81.43,
Vietnam,20.0,86.04,29.47,53.17,55.63,38.64,22.25,29.40,86.26,71.24
Venezuela,26.0,0.00,2.64,15.53,39.77,26.90,145.85,32.54,74.00,99.93
Vanuatu,81.0,,,66.69,20.83,,6.79,,40.14,
Uzbekistan,7.0,127.58,25.02,71.08,48.81,26.50,15.66,31.91,39.74,69.79
Us Virgin Islands,,,,45.16,48.41,,11.59,15.00,10.63,
Uruguay,98.0,126.11,39.03,46.65,65.50,51.36,16.54,39.55,45.40,98.04
United States,,174.79,115.97,53.02,69.25,71.94,3.50,32.68,36.41,76.51
United Kingdom,,164.45,97.21,55.88,74.09,67.08,10.09,34.53,40.85,87.86
United Arab Emirates,,157.79,97.11,84.41,66.37,64.71,5.11,37.15,52.08,45.23
Ukraine,62.0,103.07,32.50,51.24,51.72,32.16,13.22,38.71,65.83,70.31
Uganda,37.0,,21.47,40.16,48.12,30.89,37.44,42.40,82.62,
Turks And Caicos Islands,,,,58.60,69.44,,8.64,,41.38,
Turkmenistan,4.0,,10.52,58.98,52.04,98.39,30.37,14.33,34.83,
Turkey,32.0,126.88,43.09,60.23,69.80,35.62,8.32,44.36,68.13,93.26
Tunisia,70.0,121.21,36.41,57.86,57.83,26.92,11.03,32.58,69.73,93.24
